Deutsch,Englisch,Kartenart,Kartentyp,Eigenschaft,Typ,Stufe_Rang_Link,ATK,DEF,Anzahl
Springans Branga,Springans Branga,Monster,Effekt,Feuer,Maschine,8,500,2500,3
Gigadonner-Gigaklop ,Gigathunder Giclops,Monster,Pendel,Wind,Donner,4,1400,1700,4
Schwermetallfose-Amalgam ,Heavymetalfoes Amalgam,Monster,Link,Feuer,Psi,2,2000,-,4
Gitarren-Gurnards Duonigis ,Guitar Gurnards Duonigis,Monster,Effekt,Wasser,Seeschlange,3,1500,700,3
Maschinenwesen Ersatzöffner ,Machina Unclaspare,Monster,Effekt,Finsternis,Maschine,4,1800,800,3
Doppelavatar - Ermächtigter Mitsu-Jaku ,Dual Avatar - Empowered Mitsu-Jaku,Monster,Fusion,Licht,Krieger,7,2000,3000,1
Alte Krieger - Rebellischer Lu Feng ,Ancient Warriors - Rebellious Lu Feng,Monster,Effekt,Finsternis,Ungeheuer-Krieger,8,2800,2200,1
S-Kraft Orrafist ,S-Force Orrafist,Monster,Effekt,Licht,Cyberse,4,1800,1000,1
Tobender Sturmdrache - Beaufort IX ,Raging Storm Dragon - Beaufort IX,Monster,Ritual,Wind,Drache,9,2800,2800,3
S-Kraft Professor DiGamma ,S-Force Professor DiGamma,Monster,Effekt,Finsternis,Psi,3,1000,1500,4
Strahlende Vouireszenz,Radiant Vouirescence,Monster,Effekt,Licht,Drache,4,1600,800,4
Amanokujaki ,Amanokujaki,Monster,Effekt,Licht,Unterweltler,3,1000,1000,4
Feenbogenschützin Ingunar ,Fairy Archer Ingunar,Monster,Effekt,Erde,Pflanze,6,2400,1200,5
Ritter des Rüstungsdrachen ,Knight of Armor Dragon,Monster,Ritual,Wind,Drache,4,1900,1200,4
Superstarker Samurai Motorrad ,Superheavy Samurai Motorbike,Monster,Effekt,Erde,Maschine,2,800,1200,3
Springans Pedor ,Springans Pedor,Monster,Effekt,Feuer,Maschine,4,0,2000,3
Pinker Ojama ,Ojama Pink,Monster,Effekt,Licht,Ungeheuer,2,0,1000,3
Springans Rockey ,Springans Rockey,Monster,Effekt,Feuer,Maschine,4,1800,800,3
Sagenhafter Marcosia ,Fabled Marcosia,Monster,Effekt,Licht,Unterweltler,4,1700,0,4
Der sagenhafte Abanc,The Fabled Abanc,Monster,Effekt,Licht,Ungeheuer,2,1000,600,5
Digitalkäfer Registläufer,Digital Bug Registrider,Monster,Effekt,Licht,Insekt,3,1000,1000,5
Kriegsfels-Skyler,War Rock Skyler,Monster,Effekt,Erde,Krieger,6,2200,2200,3
Kriegsfels-Orpis,War Rock Orpis,Monster,Effekt,Erde,Krieger,5,2100,2100,3
Parametallfose-Azortless,Parametalfoes Azortless,Monster,Pendel,Feuer,Psi,7,2500,2000,1
"Neiroy, die Traumspiegel-Jüngerin","Neiroy, the Dream Mirror Disciple",Monster,Effekt,Licht,Fee,3,1000,1000,5
Dracheneinheit-Ritter - Gormfaobhar,Dragunity Knight - Gormfaobhar,Monster,Synchro,Wind,Drache,7,2600,2300,2
Windhexe - Blizzardglocke,Windwitch - Blizzard Bell,Monster,Effekt,Wind,Hexer,5,1800,1800,4
Materiaktor Gigaboros ,Materiactor Gigaboros,Monster,Xyz,Finsternis,Drache,3,500,500,1
Materiaktor Gigadra ,Materiactor Gigadra,Monster,Effekt,Finsternis,Drache,3,1000,1000,2
Superstarker Samurai Mönch Großer Benkei ,Superheavy Samurai Monk Big Benkei,Monster,Pendel,Erde,Maschine,8,1000,3500,3
Psi-Löschlaser ,Psychic Eraser Laser,Zauber,Normaler Zauber,-,-,-,-,-,1
Sieben Städte des goldenen Landes,Seven Cities of the Golden Land,Zauber,Permanenter Zauber,-,-,-,-,-,1
Windhexen-Glocken,Windwitch Chimes,Zauber,Normaler Zauber,-,-,-,-,-,1
Bewaffneter Drachenfunke,Armed Dragon Flash,Zauber,Schnellzauber,-,-,-,-,-,1
Rangsteigerungszauber Zexal-Kraft ,Rank-Up-Magic Zexal Force,Zauber,Normaler Zauber,-,-,-,-,-,1
Zexal-Erschaffung,Zexal Construction,Zauber,Normaler Zauber,-,-,-,-,-,1
Feuerprobe des Kriegsfelsens,War Rock Ordeal,Zauber,Permanenter Zauber,-,-,-,-,-,3
Treffpunkt der Sta-Brigade ,Tri-Brigade Rendezvous,Zauber,Schnellzauber,-,-,-,-,-,2
Verstärkung für die Armeetruppen ,Reinforcement of the Army's Troops,Zauber,Permanenter Zauber,-,-,-,-,,4
Wütender Betrugsversuch ,Tilted Try,Zauber,Spielfeldzauber,-,-,-,-,-,5
Parametallfose-Fusion,Parametalfoes Fusion,Zauber,Normaler Zauber,-,-,-,-,-,3
Bewaffneter Drachenstrahl ,Armed Dragon Blitz,Zauber,Normaler Zauber,-,-,-,-,-,3
Bewaffneter Drachenblitz,Armed Dragon Lightning,Zauber,Permanenter Zauber,-,-,-,-,-,4
S-Kraft-Machtprobe ,S-Force Showdown,Zauber,Schnellzauber,-,-,-,-,-,3
Hauch des Lobes,Breath of Acclamation,Zauber,Ritualzauber,-,-,-,-,-,5
Treppe in ein sagenhaftes Reich,Stairway to a Fabled Realm,Zauber,Spielfeldzauber,-,-,-,-,-,4
Ritual des Rüstungsdrachen ,Armor Dragon Ritual,Zauber,Ritualzauber,-,-,-,-,-,5
Erzunterweltler-Stab der Verzweiflung ,Archfiend's Staff of Despair,Zauber,Ausrüstungszauber,-,-,-,-,-,3
Springans-Explosion! ,Springans Blast!,Falle,Normale Falle,-,-,-,-,-,3
Springans-Aufruf! ,Springans Call!,Falle,Normale Falle,-,-,-,-,-,3
Pendelzugabe,Pendulum Encore,Falle,Normale Falle,-,-,-,-,-,3
Doppelavatar-Einfluss ,Dual Avatar Ascendance,Falle,Normale Falle,-,-,-,-,-,3
Wucht des Kriegsfelsens ,War Rock Big Blow,Falle,Normale Falle,-,-,-,-,-,1
Dogmatika-Ernennung ,Dogmatika Genesis,Falle,Normale Falle,-,-,-,-,-,4
Alte Krieger-Sage - Ritterlicher Pfad ,Ancient Warriors Saga - Chivalrous Path,Falle,Permanente Falle,-,-,-,-,-,4
Traumspiegel-Nacherzählung,Dream Mirror Recap,Falle,Permanente Falle,-,-,-,-,-,3
Tor der Virtualwelt - Xuanwu ,Virtual World Gate - Xuanwu,Falle,Permanente Falle,-,-,-,-,-,3
Sagenhafter Verrat,Fabled Treason,Falle,Normale Falle,-,-,-,-,-,4
Lineare-Gleichungs-Kanone,Linear Equation Cannon,Falle,Normale Falle,-,-,-,-,-,3
Eisbrisen-Refrain ,Icy Breeze Refrain,Falle,Normale Falle,-,-,-,-,-,5
S-Kraft-Exemplar,S-Force Specimen,Falle,Normale Falle,-,-,-,-,-,5
Zeichen der Tistina,Signs of the Tistina,Falle,Permanente Falle,-,-,-,-,-,2
Generationen des Kriegsfelsens,War Rock Generations,Falle,Normale Falle,-,-,-,-,-,1
Engelsstatue - Azurune,Angel Statue - Azurune,Falle,Permanente Falle,-,-,-,-,-,4
E.M.S. ,E.M.R.,Falle,Normale Falle,-,-,-,-,-,1
"Unglaubliche Ecclesia, die Tugendhafte ","Incredible Ecclesia, the Virtuous",Monster,Effekt,Licht,Hexer,4,1500,1500,3
"Leitende Quem, die Tugendhafte ","Guiding Quem, the Virtuous",Monster,Effekt,Licht,Hexer,4,1500,1500,3
Der abgeheuerliche Lubellion,The Bystial Lubellion,Monster,Effekt,Licht,Drache,8,2500,3000,3
Abgeheuerlicher Magnamhut,Bystial Magnamhut,Monster,Effekt,Finsternis,Drache,6,2500,2000,3
Abgeheuerlicher Saronir ,Bystial Saronir,Monster,Effekt,Finsternis,Drache,6,2500,2000,3
Abgeheuerlicher Druiswurm ,Bystial Druiswurm,Monster,Effekt,Finsternis,Drache,6,2500,2000,3
Der Gefallene und die Tugendhafte,The Fallen & The Virtuous,Zauber,Schnellzauber,-,-,-,-,-,3
Markierter Wiedergewinn,Branded Regained,Zauber,Permanenter Zauber,-,-,-,-,-,3
Fusionsentsendung ,Fusion Deployment,Zauber,Normaler Zauber,-,-,-,-,-,3
Stoß der drei Taktiken,Triple Tactics Thrust,Zauber,Normaler Zauber,-,-,-,-,-,6
Markierte Verbannung,Branded Banishment,Falle,Normale Falle,-,-,-,-,-,3
Markiertes Ungeheuer,Branded Beast,Falle,Permanente Falle,-,-,-,-,-,3
Die schwarze Ziege lacht ,The Black Goat Laughs,Falle,Normale Falle,-,-,-,-,-,3
Fusionsduplizierung ,Fusion Duplication,Falle,Normale Falle,-,-,-,-,-,3
"Der Drache, der das Dogma verschlingt ",The Dragon that Devours the Dogma,Monster,Fusion,Finsternis,Ungeheuer,8,3000,2500,4
Alba-Lenatus der Abgrunddrache ,Alba-Lenatus the Abyss Dragon,Monster,Fusion,Finsternis,Drache,8,2500,2500,3
Rindbrumm der zuschlagende Drache,Rindbrumm the Striking Dragon,Monster,Fusion,Finsternis,Geflügeltes Ungeheuer,8,2500,2000,3
Granguignol der Dämmerungsdrache,Granguignol the Dusk Dragon,Monster,Fusion,Licht,Hexer,8,2500,2000,3
Volltempokrieger ,Full-Speed Warrior,Monster,Effekt,Wind,Krieger,2,900,400,1
Ankerschrauben-Igel ,Anchorbolt Hedgehog,Monster,Effekt,Erde,Maschine,2,800,800,1
Scheideweg-Klanghühnchen ,Crossroad Sonic Chick,Monster,Effekt,Erde,Geflügeltes Ungeheuer,1,300,300,1
Schrottsynchron,Scrap Synchron,Monster,Effekt,Erde,Maschine,1,700,100,1
Gerümpelsynchronisierer,Junk Synchron,Monster,Effekt,Finsternis,Krieger,3,1300,500,2
Radsynchron ,Wheel Synchron,Monster,Effekt,Licht,Maschine,5,800,1000,1
Sternenstaub-Synchron,Stardust Synchron,Monster,Effekt,Licht,Maschine,4,1500,1000,3
Revolutionssynchron ,Revolution Synchron,Monster,Effekt,Erde,Maschine,3,900,1400,1
Satellitensynchron,Satellite Synchron,Monster,Effekt,Finsternis,Maschine,2,700,100,1
Angriffssynchron,Assault Synchron,Monster,Effekt,Finsternis,Maschine,2,700,0,1
Jetsynchron,Jet Synchron,Monster,Effekt,Feuer,Maschine,1,500,0,7
Gerümpelumformer,Junk Converter,Monster,Effekt,Erde,Krieger,2,400,200,3
Doppelkrieger ,Doppelwarrior,Monster,Effekt,Finsternis,Krieger,2,800,800,1
Mulreizende Purulia,Mulcharmy Purulia,Monster,Effekt,Wasser,Aqua,4,100,600,2
Synchro-Gemeinschaft,Synchro Fellowship,Zauber,Normaler Zauber,-,-,-,-,-,1
"Auf die Plätze, fertig, DUELL! ","On Your Mark, Get Set, DUEL!",Zauber,Permanenter Zauber,-,-,-,-,-,2
Stimmen ,Tuning,Zauber,Normaler Zauber,-,-,-,-,-,3
Ursprung des Duellanten,Duelist Genesis,Zauber,Normaler Zauber,-,-,-,-,-,1
Synchrogrollen,Synchro Rumble,Zauber,Normaler Zauber,-,-,-,-,-,1
Aufeinanderprallende Seelen ,Clashing Souls,Zauber,Schnellzauber,-,-,-,-,-,1
Schrottfaust,Scrap Fist,Zauber,Schnellzauber,-,-,-,-,-,1
Schrottplatz ,Scrapyard,Zauber,Normaler Zauber,-,-,-,-,-,1
Auslöschungsinformant ,Crossout Designator,Zauber,Schnellzauber,-,-,-,-,-,1
Einbahn-Synchro,One-Way Synchro,Falle,Normale Falle,-,-,-,-,-,1
Synchrozone ,Synchro Zone,Falle,Permanente Falle,-,-,-,-,-,1
Extremer Gerümpelkrieger ,Junk Warrior Extreme,Monster,Synchro,Finsternis,Krieger,8,2900,2300,1
Schrottkrieger,Scrap Warrior,Monster,Synchro,Erde,Krieger,3,1700,100,1
Schnellsynchro-Sternenstaubdrache,Accel Synchro Stardust Dragon,Monster,Synchro,Wind,Drache,8,2500,2000,1
Formelsynchron,Formula Synchron,Monster,Synchro,Licht,Maschine,2,200,1500,1
Sternenstaubkrieger ,Stardust Warrior,Monster,Synchro,Wind,Krieger,10,3000,2500,1
Hexe der schwarzen Rose,Witch of the Black Rose,Monster,Effekt,Finsternis,Hexer,4,1700,1200,1
Spore ,Spore,Monster,Effekt,Wind,Pflanze,1,400,800,1
Rosenfreundin,Rose Lover,Monster,Effekt,Erde,Pflanze,1,800,800,1
Blauer Rosendrache ,Blue Rose Dragon,Monster,Effekt,Finsternis,Drache,4,1600,1200,1
Roter Rosendrache,Red Rose Dragon,Monster,Effekt,Finsternis,Drache,3,1000,1800,3
Weißer Rosendrache,White Rose Dragon,Monster,Effekt,Finsternis,Drache,4,1200,1000,3
Rosenmädchen ,Rose Girl,Monster,Effekt,Erde,Pflanze,3,800,600,1
Kastanien-Rosendrache ,Roxrose Dragon,Monster,Effekt,Finsternis,Drache,3,1600,1200,3
Rötliche Rosenhexe ,Ruddy Rose Witch,Monster,Effekt,Licht,Pflanze,1,800,1700,3
Mulreizendes Miauls ,Mulcharmy Meowls,Monster,Effekt,Erde,Ungeheuer,4,100,600,2
Wunderdünger ,Miracle Fertilizer,Zauber,Permanenter Zauber,-,-,-,-,-,2
Schwarzer Garten,Black Garden,Zauber,Spielfeldzauber,-,-,-,-,-,2
Sturm der Wohlgerüche,Fragrance Storm,Zauber,Normaler Zauber,-,-,-,-,-,1
Dorn der Arglist,Thorn of Malice,Zauber,Ausrüstungszauber,-,-,-,-,-,1
Gefrorene Rose ,Frozen Rose,Zauber,Schnellzauber,-,-,-,-,-,1
Weißer Rosen-Kreuzgang,White Rose Cloister,Zauber,Spielfeldzauber,-,-,-,-,-,1
Rosenwurzelaustrieb,Basal Rose Shoot,Zauber,Schnellzauber,-,-,-,-,-,2
Erblühen der dunkelsten Rose,Blooming of the Darkest Rose,Falle,Normale Falle,-,-,-,-,-,1
Schwarzer Rosendrache,Black Rose Dragon,Monster,Synchro,Feuer,Drache,7,2400,1800,3
Famose Rose ,Splendid Rose,Monster,Synchro,Wind,Pflanze,6,2200,2000,1
Schwarzer Rosen-Mondlichtdrache,Black Rose Moonlight Dragon,Monster,Synchro,Licht,Drache,7,2400,1800,2
Gartenrosenmädchen,Garden Rose Maiden,Monster,Synchro,Finsternis,Pflanze,5,1600,2400,1
Gekreuzter Rosendrache,Crossrose Dragon,Monster,Link,Finsternis,Drache,2,800,-,2
"Periallis, Kaiserin der Blüten","Periallis, Empress of Blossoms",Monster,Synchro,Licht,Pflanze,7,1600,2400,1
Rötlicher Rosendrache,Ruddy Rose Dragon,Monster,Synchro,Feuer,Drache,10,3200,2400,2
Gartenrosenflora,Garden Rose Flora,Monster,Synchro,Licht,Pflanze,5,800,1600,1
Schwarzflügel - Gale der Wirbelwind,Blackwing - Gale the Whirlwind,Monster,Effekt,Finsternis,Geflügeltes Ungeheuer,3,1300,400,1
Schwarzflügel - Bora der Speer,Blackwing - Bora the Spear,Monster,Effekt,Finsternis,Geflügeltes Ungeheuer,4,1700,800,1
Schwarzflügel - Vayu das Symbol der Ehre,Blackwing - Vayu the Emblem of Honor,Monster,Effekt,Finsternis,Geflügeltes Ungeheuer,1,800,0,1
Schwarzflügel - Kris das Morgengrauen,Blackwing - Kris the Crack of Dawn,Monster,Effekt,Finsternis,Geflügeltes Ungeheuer,4,1900,300,1
Schwarzflügel - Sharnga der abnehmende Mond ,Blackwing - Sharnga the Waning Moon,Monster,Effekt,Finsternis,Geflügeltes Ungeheuer,2,500,500,1
Schwarzflügel - Oroshi die Sturmbö ,Blackwing - Oroshi the Squall,Monster,Effekt,Finsternis,Geflügeltes Ungeheuer,1,400,600,1
Schwarzflügel - Harmattan der Staub,Blackwing - Harmattan the Dust,Monster,Effekt,Finsternis,Geflügeltes Ungeheuer,2,800,800,1
Geistertrauernde und Mondeskälte,Ghost Mourner & Moonlit Chill,Monster,Effekt,Wind,Zombie,3,0,1800,1
Schwarzflügel - Vata das Symbol des Wanderns,Blackwing - Vata the Emblem of Wandering,Monster,Effekt,Finsternis,Geflügeltes Ungeheuer,2,800,0,3
Schwarzflügel - Schamal der Sandsturm ,Blackwing - Shamal the Sandstorm,Monster,Effekt,Finsternis,Geflügeltes Ungeheuer,4,1600,0,3
Schwarzflügel - Chinook die Schneeböe ,Blackwing - Chinook the Snow Blast,Monster,Effekt,Finsternis,Geflügeltes Ungeheuer,2,100,700,3
Schwarzflügel - Sudri der Phantomschimmer,Blackwing - Sudri the Phantom Glimmer,Monster,Effekt,Finsternis,Geflügeltes Ungeheuer,4,1400,1400,3
Mulreizendes Fuwalos ,Mulcharmy Fuwalos,Monster,Effekt,Wind,Geflügeltes Ungeheuer,4,100,600,2
Schwarzer Wirbelwind ,Black Whirlwind,Zauber,Permanenter Zauber,-,-,-,-,-,2
Schwarzfeder-Wirbelwind,Black Feather Whirlwind,Zauber,Permanenter Zauber,-,-,-,-,-,2
Deltakrähe - Antiumkehrung ,Delta Crow - Anti Reverse,Falle,Normale Falle,-,-,-,-,-,1
Schwarzvogel-Abschluss ,Blackbird Close,Falle,Konterfalle,-,-,-,-,-,1
Schwarzflügel - Zwillingsschatten,Blackwing - Twin Shadow,Falle,Normale Falle,-,-,-,-,-,1
Schwarzflügel-Rüstungsmeister,Blackwing Armor Master,Monster,Synchro,Finsternis,Geflügeltes Ungeheuer,7,2500,1500,1
Schwarzflügel-Waffenmeister,Blackwing Armed Wing,Monster,Synchro,Finsternis,Geflügeltes Ungeheuer,6,2300,1000,1
Schwarzflügel - Silberwind der Aszendent,Blackwing - Silverwind the Ascendant,Monster,Synchro,Finsternis,Geflügeltes Ungeheuer,8,2800,2000,1
Schwarz geflügelter Drache ,Black-Winged Dragon,Monster,Synchro,Finsternis,Drache,8,2800,1600,2
Schwarzflügel - Nothung das Sternenlicht ,Blackwing - Nothung the Starlight,Monster,Synchro,Finsternis,Geflügeltes Ungeheuer,6,2400,1600,1
Schwarzflügel-Panzermeister ,Blackwing Full Armor Master,Monster,Synchro,Finsternis,Geflügeltes Ungeheuer,10,3000,3000,1
Schwarz geflügelter Sturmangriffs-Drache ,Black-Winged Assault Dragon,Monster,Synchro,Finsternis,Drache,10,3200,2800,2
Schwarzflügel - Boreastorm der boshafte Wind ,Blackwing - Boreastorm the Wicked Wind,Monster,Synchro,Finsternis,Geflügeltes Ungeheuer,6,2400,1200,2
Verdammter Finsterlord ,Condemned Darklord,Monster,Link,Finsternis,Fee,2,1600,-,1
Ib die Weltkelch-Priesterin ,Ib the World Chalice Priestess,Monster,Link,Wasser,Hexer,2,1800,-,1
"Gaia-Säbel, der Blitzschatten","Gaia Saber, the Lightning Shadow",Monster,Link,Erde,Maschine,3,2600,-,1
Witterungsmalerin Regenbogen,The Weather Painter Rainbow,Monster,Link,Licht,Fee,3,2400,-,1
Weißer Ritter der Dogmatika ,White Knight of Dogmatika,Monster,Ritual,Licht,Hexer,8,500,2500,2
Nummer 39: Utopia-Aufstieg ,Number 39: Utopia Rising,Monster,Xyz,Licht,Krieger,4,0,2000,1
Witterungsmalerin Mondregenbogen ,The Weather Painter Moonbow,Monster,Link,Finsternis,Fee,3,2400,-,1
Dogmatikamakaber ,Dogmatikamacabre,Zauber,Ritualzauber,-,-,-,-,-,3
Markierte Niederlage ,Branded Loss,Zauber,Normaler Zauber,-,-,-,-,-,1
Dogmatikaturgie,Dogmatikaturgy,Falle,Normale Falle,-,-,-,-,-,2
Markiert in Zentral-Dogmatika,Branded in Central Dogmatika,Zauber,Permanenter Zauber,-,-,-,-,-,3
Der abgeheuerliche Aluber ,The Bystial Aluber,Monster,Effekt,Finsternis,Drache,4,1800,0,1
Transzendosaurier Exaraptor ,Transcendosaurus Exaraptor,Monster,Link,Finsternis,Dinosaurier,3,3000,-,1
Topologische Trisbaena ,Topologic Trisbaena,Monster,Link,Finsternis,Cyberse,3,2500,-,1
Edelstein-Ritter Hohlkern,Gem-Knight Hollowcore,Monster,Effekt,Finsternis,Unterweltler,7,1950,2450,1
Dispersion des Edelstein-Ritters ,Gem-Knight Dispersion,Zauber,Normaler Zauber,-,-,-,-,-,1
Edelstein-Ritter Citrin ,Gem-Knight Citrine,Monster,Fusion,Erde,Pyro,7,2200,1950,1
Edelstein-Ritterdame Lapislazuli,Gem-Knight Lady Lapis Lazuli,Monster,Fusion,Erde,Fels,5,2400,1000,1
Spiral-Wiedergeburt ,Spiral Reborn,Falle,Normale Falle,-,-,-,-,-,1
Ido die höchste magische Kraft ,Ido the Supreme Magical Force,Monster,Effekt,Finsternis,Unterweltler,6,2200,800,1
JJ „Kewl-Empfang“,"JJ ""Kewl Tune""",Zauber,Spielfeldzauber,-,-,-,-,-,1
Kewl-Empfang-Synchro ,Kewl Tune Synchro,Zauber,Schnellzauber,-,-,-,-,-,1
Kewl-Empfang Mix ,Kewl Tune Mix,Monster,Effekt,Wind,Krieger,2,100,2000,1
Kewl-Empfang Einsatz,Kewl Tune Cue,Monster,Effekt,Licht,Fee,3,900,1900,1
Kewl-Empfang Übersteuer,Kewl Tune Clip,Monster,Effekt,Finsternis,Donner,2,800,1000,2
Kewl-Empfang Trackschreiber ,Kewl Tune Track Maker,Monster,Synchro,Licht,Maschine,4,0,2500,3
Kewl-Empfang Remix ,Kewl Tune Remix,Monster,Synchro,Finsternis,Krieger,5,1500,2000,2
Kewl-Empfang Lautheitskrieg,Kewl Tune Loudness War,Monster,Synchro,Licht,Maschine,6,0,3000,1
Geist der Herbstwinde,Spirit of the Fall Wind,Monster,Effekt,Wind,Fee,4,1800,900,3
Verbündeter der Gerechtigkeit Zyklonerzeuger ,Ally of Justice Cyclone Creator,Monster,Effekt,Finsternis,Maschine,3,1400,1200,3
Erdgebundener Gefangener Steinputzer ,Earthbound Prisoner Stone Sweeper,Monster,Effekt,Finsternis,Unterweltler,5,1600,1600,5
Topf Des Verbotenen ,Pot of The Forbidden,Monster,Effekt,Erde,Fels,9,2000,3000,3
Zeitnachlader ,Time Reloader,Monster,Effekt,Licht,Maschine,8,1200,2400,3
Blumensynchronisierer ,Fleur Synchron,Monster,Effekt,Licht,Maschine,2,400,200,4
Albtraum-Magier ,Nightmare Magician,Monster,Effekt,Finsternis,Illusion,7,2500,2000,5
Arkaner Lehrling,Arcane Apprentice,Monster,Effekt,Feuer,Hexer,2,1000,400,4
"Tao, Sängermeister",Master Tao the Chanter,Monster,Effekt,Erde,Illusion,3,1200,900,5
Synchro-Überholen ,Synchro Overtake,Zauber,Normaler Zauber,-,-,-,-,-,3
Schrecken in der versteckten Stadt ,Terrors in the Hidden City,Zauber,Permanenter Zauber,-,-,-,-,-,4
Sonnenuntergangsstimmung,Sunset Beat,Zauber,Permanenter Zauber,-,-,-,-,-,3
Autonome Eingreiftruppe ,Autonomous Action Unit,Zauber,Ausrüstungszauber,-,-,-,-,-,3
Punktlandung ,Pinpoint Landing,Zauber,Permanenter Zauber,-,-,-,-,-,4
Maßregelung ,Crackdown,Falle,Permanente Falle,-,-,-,-,-,5
Kewl-Empfang-Playlist ,Kewl Tune Playlist,Falle,Normale Falle,-,-,-,-,-,4
Buch von Taiyou ,Book of Taiyou,Zauber,Normaler Zauber,-,-,-,-,-,4
Nummer 11: Großes Auge ,Number 11: Big Eye,Monster,Xyz,Finsternis,Hexer,7,2600,2000,4
Kristallflügel-Synchrodrache,Crystal Wing Synchro Dragon,Monster,Synchro,Wind,Drache,8,3000,2500,4
Enneawerk - Asta.PIXEA ,Enneacraft - Asta.PIXEA,Monster,Pendel,Licht,Maschine,9,3000,2500,5
Enneawerk - Aiza.LEON ,Enneacraft - Aiza.LEON,Monster,Pendel,Licht,Maschine,9,3000,2500,2
Enneawerk - Archa.TAIL,Enneacraft - Archa.TAIL,Monster,Pendel,Licht,Maschine,9,3000,2500,1
Deftero-Enneawerk - „alazoneIA“ ,"Deftero Enneacraft - ""alazoneIA""",Monster,Pendel,Erde,Maschine,1,100,1000,4
Ekto-Enneawerk - „tromarIA“,"Ekto Enneacraft - ""tromarIA""",Monster,Pendel,Erde,Maschine,1,100,1000,4
Enato-Enneawerk - „oknirIA“ ,"Enato Enneacraft - ""oknirIA""",Monster,Pendel,Erde,Maschine,1,100,1000,3
Proto-Enneawerk - „orgIA“,"Proto Enneacraft - ""orgIA""",Monster,Pendel,Erde,Maschine,1,100,1000,4
Enneawerk-Freigabe,Enneacraft Release,Zauber,Normaler Zauber,-,-,-,-,-,2
Enneawerk-Rückgeburt ,Enneacraft Reverth,Zauber,Normaler Zauber,-,-,-,-,-,4
Enneapolis ,Enneapolis,Zauber,Spielfeldzauber,-,-,-,-,-,2
Sonne und Mond ,Sol and Luna,Zauber,Schnellzauber,-,-,-,-,-,8
Zerstörerische Daruma-Karmakanone ,Destructive Daruma Karma Cannon,Falle,Normale Falle,-,-,-,-,-,4
Hekahände Xeno ,Hecahands Xeno,Monster,Fusion,Finsternis,Illusion,9,3400,3500,2
Hekahände Ibtel ,Hecahands Ibtel,Monster,Effekt,Licht,Illusion,6,1600,2100,1
Hekahände Godos ,Hecahands Godos,Monster,Effekt,Finsternis,Illusion,7,2300,2000,3
Hekahände Gaigas ,Hecahands Gaigas,Monster,Effekt,Finsternis,Illusion,7,1200,2800,4
Hekahände Breus ,Hecahands Breus,Monster,Effekt,Finsternis,Illusion,7,2800,1300,5
Hekahände-Tartaros,Hecahands Tartaros,Zauber,Schnellzauber,-,-,-,-,-,5
Yad'al-Hekahände,Yad'al-Hecahands,Falle,Konterfalle,-,-,-,-,-,5
Ib'al-Hekahände,Ib'al-Hecahands,Falle,Konterfalle,-,-,-,-,-,3
Auge der Illusion,Eye of Illusion,Zauber,Schnellzauber,-,-,-,-,-,3
"Brionac, Drache der Eisbarriere ","Brionac, Dragon of the Ice Barrier",Monster,Synchro,Wasser,Seeschlange,6,2300,1400,1
Dai-sojo der Eisbarriere ,Dai-sojo of the Ice Barrier,Monster,Effekt,Wasser,Hexer,6,1600,2200,1
Wassergeist ,Aqua Spirit,Monster,Effekt,Wasser,Aqua,4,1600,1200,1
Frostmagier der Eisbarriere ,Cryomancer of the Ice Barrier,Monster,Effekt,Wasser,Aqua,2,1300,0,1
Tanzende Prinzessin der Eisbarriere ,Dance Princess of the Ice Barrier,Monster,Effekt,Wasser,Hexer,4,1700,900,1
Schrecken von Trishula ,Terror of Trishula,Falle,Normale Falle,-,-,-,-,-,1
"Gungnir, Drache der Eisbarriere","Gungnir, Dragon of the Ice Barrier",Monster,Synchro,Wasser,Drache,7,2500,1700,1
General Wayne der Eisbarriere ,General Wayne of the Ice Barrier,Monster,Effekt,Wasser,Krieger,5,2100,400,1
"Blizzed, Verteidiger der Eisbarriere ","Blizzed, Defender of the Ice Barrier",Monster,Effekt,Wasser,Aqua,1,300,500,1
Gedankenentzug,Mind Drain,Falle,Permanente Falle,-,-,-,-,-,1
Moulinglacia der Elementarherrscher ,Moulinglacia the Elemental Lord,Monster,Effekt,Wasser,Seeschlange,8,2800,2200,1
Wind über der Eisbarriere ,Winds Over the Ice Barrier,Zauber,Normaler Zauber,-,-,-,-,-,1
"Trishula, Nulldrache der Eisbarriere ","Trishula, Zero Dragon of the Ice Barrier",Monster,Synchro,Wasser,Drache,11,2700,2000,1
"Dewloren, Tigerkönig der Eisbarriere","Dewloren, Tiger King of the Ice Barrier",Monster,Synchro,Wasser,Ungeheuer,6,2000,1400,1
"Trishula, Drache der Eisbarriere","Trishula, Dragon of the Ice Barrier",Monster,Synchro,Wasser,Drache,9,2700,2000,2
General Grunard der Eisbarriere ,General Grunard of the Ice Barrier,Monster,Effekt,Wasser,Krieger,8,2800,1000,1
Hexenmeister der Eisbarriere ,Warlock of the Ice Barrier,Monster,Effekt,Wasser,Hexer,3,400,1000,1
Stratege der Eisbarriere,Strategist of the Ice Barrier,Monster,Effekt,Wasser,Hexer,4,1600,1600,1
Medium der Eisbarriere ,Medium of the Ice Barrier,Monster,Effekt,Wasser,Hexer,7,2200,1600,1
Genex-Undine ,Genex Undine,Monster,Effekt,Wasser,Aqua,3,1200,600,1
